snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-09-09T16,1038730744,Withering Realms,True,61,6215,7,0.9892,,,,ENTRY IGNITION:elajjaz,3.25,entry_day=+0.75;entry_short=+1.50;ignition=+1.00,3441990
2026-09-09T16,497057,Destiny 2,True,80,4591,100,0.7009,,,,ENTRY IGNITION:aztecross,3.198,entry_day=+0.75;entry_short=+1.50;ignition=+1.00;steam_growth=-0.05,1085660
2026-09-09T16,624536948,EA Sports FC 26,True,65,4923,92,0.335,1.0691895718410813,0.012673922712745124,-0.08338160893905101,IGNITION:auziomf,3.024,channel_growth_day=-0.05;channel_growth_short=-0.13;ignition=+1.00;rank_climb=+0.16;steam_growth=-0.11;viewer_growth_day=+0.01;viewer_growth_short=+2.14,3405690
2026-09-09T16,13332,Pokémon FireRed/LeafGreen,False,46,8016,100,0.3893,0.055926344688228644,-0.045362568697164575,0.7133498878774648,BREADTH IGNITION:yourragegaming,2.764,breadth_bonus=+0.50;channel_growth_day=+0.01;channel_growth_short=+1.07;ignition=+1.00;rank_climb=+0.12;viewer_growth_day=-0.05;viewer_growth_short=+0.11,
2026-09-09T16,516575,VALORANT,True,3,122580,94,0.27,1.128042611645113,0.36301155250315925,-0.05182506786458602,,2.598,channel_growth_day=-0.02;channel_growth_short=-0.08;rank_climb=+0.08;viewer_growth_day=+0.36;viewer_growth_short=+2.26,
2026-09-09T16,138585,Hearthstone,True,16,29485,95,0.336,1.2230905720763086,-0.052264503127140365,0.03208831455150045,,2.484,channel_growth_day=-0.04;channel_growth_short=+0.05;rank_climb=+0.08;viewer_growth_day=-0.05;viewer_growth_short=+2.45,
2026-09-09T16,509658,Just Chatting,False,1,338227,98,0.1208,1.0234162484389921,0.42706702157908827,-0.010152371464017962,,2.474,channel_growth_day=+0.02;channel_growth_short=-0.02;viewer_growth_day=+0.43;viewer_growth_short=+2.05,
2026-09-09T16,488190,Poker,False,70,5043,100,0.2768,0.9672396790310808,-0.24390608603554845,0.7339691750802005,,2.454,channel_growth_day=+0.02;channel_growth_short=+1.10;rank_climb=-0.36;viewer_growth_day=-0.24;viewer_growth_short=+1.93,
2026-09-09T16,1846293708,Fields of Mistria,True,78,4314,58,0.7251,,-0.019738992957250828,,ENTRY IGNITION:shxtou,2.442,channel_growth_day=-0.04;entry_short=+1.50;ignition=+1.00;viewer_growth_day=-0.02,2142790
2026-09-09T16,23020,ROBLOX,True,72,2777,94,0.1873,0.7369444285935541,0.3737445430665265,-0.02105340919783238,,2.394,channel_growth_day=+0.06;channel_growth_short=-0.03;rank_climb=+0.52;viewer_growth_day=+0.37;viewer_growth_short=+1.47,
