snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-09-01T05,509667,2,beststreetfood,74,en,2026-08-31T13:15:36Z
2026-09-01T05,509667,3,lordtocs,40,en,2026-09-01T01:57:28Z
2026-09-01T05,509663,1,bootherat,328,en,2026-09-01T00:31:25Z
2026-09-01T05,509663,2,banthony,250,en,2026-08-31T22:09:00Z
2026-09-01T05,509663,3,garek,190,en,2026-08-31T20:05:52Z
2026-09-01T05,493959,1,tehjamjar,264,en,2026-08-31T23:59:12Z
2026-09-01T05,493959,2,amacky,63,en,2026-09-01T02:52:00Z
2026-09-01T05,493959,3,niwnah,61,it,2026-08-31T20:38:19Z
2026-09-01T05,500188,1,khalamity,446,en,2026-08-31T23:44:34Z
2026-09-01T05,500188,2,toonafeesh,92,en,2026-09-01T00:07:31Z
2026-09-01T05,500188,3,sentokis,82,ru,2026-09-01T04:18:55Z
2026-09-01T05,66170,1,brozime,254,en,2026-09-01T01:25:15Z
2026-09-01T05,66170,2,snootydeath,198,en,2026-09-01T00:10:24Z
2026-09-01T05,66170,3,dknightx91,98,en,2026-09-01T02:35:57Z
2026-09-01T05,509511,1,sandyjackson,285,de,2026-08-31T22:27:32Z
2026-09-01T05,509511,2,zim2325,129,en,2026-08-31T22:24:26Z
2026-09-01T05,509511,3,caracolive,117,pt,2026-09-01T01:51:43Z
2026-09-01T05,116747788,1,woojungx4,1206,ko,2026-08-30T17:06:56Z
2026-09-01T05,116747788,2,kristenlanae,138,en,2026-08-31T01:00:49Z
2026-09-01T05,116747788,3,sparklyboo69,97,en,2026-08-30T08:14:02Z
2026-09-01T05,1267086599,1,uhn,1711,en,2026-09-01T01:59:57Z
2026-09-01T05,7022,1,gronkhtv,1579,de,2026-08-30T21:11:31Z
2026-09-01T05,7022,2,nanaei_owo,11,en,2026-09-01T04:50:14Z
2026-09-01T05,7022,3,kayrosms,7,es,2026-09-01T04:26:03Z
2026-09-01T05,401587136,1,gl40labsrat,225,en,2026-09-01T00:59:41Z
2026-09-01T05,401587136,2,kassshiro,178,ru,2026-09-01T04:16:05Z
2026-09-01T05,401587136,3,bk_cheeks,110,en,2026-09-01T03:11:43Z
2026-09-01T05,65632,1,house,490,en,2026-09-01T01:07:16Z
2026-09-01T05,65632,2,nikolaibullcry,122,en,2026-09-01T02:23:23Z
2026-09-01T05,65632,3,kyuubitheog,83,en,2026-09-01T03:03:29Z
2026-09-01T05,19976,1,bean_0924,189,zh,2026-09-01T02:00:04Z
2026-09-01T05,19976,2,emmies,185,en,2026-09-01T00:02:26Z
2026-09-01T05,19976,3,misusingtv,180,en,2026-08-31T01:16:32Z
2026-09-01T05,2012789438,1,futives,227,en,2026-09-01T02:25:42Z
2026-09-01T05,2012789438,2,shonufz,101,en,2026-09-01T00:52:57Z
2026-09-01T05,2012789438,3,perfeqted,73,en,2026-09-01T04:13:17Z
2026-09-01T05,518597,1,sequisha,1451,en,2026-08-31T18:16:53Z
2026-09-01T05,518597,2,hallucinatedphoenix,92,en,2026-08-31T23:44:29Z
2026-09-01T05,518597,3,linkin250,2,ja,2026-09-01T04:25:50Z
2026-09-01T05,504463,1,streamerhouse,451,en,2026-08-30T22:12:23Z
2026-09-01T05,504463,2,jenjaminbuttons,122,en,2026-08-31T19:44:35Z
2026-09-01T05,504463,3,kackishd,122,en,2026-09-01T01:04:36Z
2026-09-01T05,10322,1,calebhart42,1312,en,2026-08-31T23:43:22Z
2026-09-01T05,10322,2,caracarnvi,108,en,2026-09-01T02:13:52Z
2026-09-01T05,10322,3,spaceytora,43,en,2026-09-01T00:14:07Z
2026-09-01T05,968234600,1,itswill,1209,en,2026-09-01T00:23:36Z
2026-09-01T05,968234600,2,loganolio,268,en,2026-09-01T01:47:50Z
2026-09-01T05,968234600,3,3a6blbalocb,15,ru,2026-08-31T16:04:59Z
2026-09-01T05,1931693784,1,mastermarkvgc,267,en,2026-09-01T01:38:18Z
2026-09-01T05,1931693784,2,polita,214,en,2026-08-31T11:08:24Z
2026-09-01T05,1931693784,3,xenoda,135,en,2026-09-01T02:50:05Z
2026-09-01T05,538054672,1,phidx,510,en,2026-09-01T02:41:44Z
2026-09-01T05,538054672,2,amour,165,en,2026-09-01T03:02:20Z
2026-09-01T05,538054672,3,joebuddentk,157,en,2026-09-01T03:56:44Z
2026-09-01T05,416015,1,mistersleepycat,682,en,2026-08-31T23:01:53Z
2026-09-01T05,416015,2,poogf01,184,zh,2026-09-01T00:58:45Z
2026-09-01T05,416015,3,retzi,95,en,2026-09-01T04:01:01Z
2026-09-01T05,518184,1,breakofdaylight,163,en,2026-09-01T00:48:00Z
2026-09-01T05,518184,2,sherlocwolf,139,en,2026-09-01T04:00:20Z
2026-09-01T05,518184,3,cin4toast,41,en,2026-09-01T02:29:36Z
2026-09-01T05,570615518,1,yaboyroshi,258,en,2026-09-01T04:55:43Z
2026-09-01T05,570615518,2,briicosplays,139,en,2026-09-01T04:06:49Z
2026-09-01T05,570615518,3,ifadedcoffee,127,en,2026-08-31T15:06:56Z
2026-09-01T05,495811,1,coldzin,1148,pt,2026-09-01T02:48:12Z
2026-09-01T05,495811,2,pootitang0069,143,en,2026-08-31T22:00:13Z
2026-09-01T05,495811,3,schrongk,27,de,2026-09-01T04:52:06Z
